Station	VSCIAll
1AAUA017.60	61.075
1ABED009.37	69.06
1ABUL009.61	41.96
1ACAA000.83	39.18617928
1ACAH001.82	43.63498888
1ACAX003.69	53.56373431
1ACAX003.81	63.895
1ACER005.02	59.89220797
1ACER012.66	54.46
1ACHO003.47	53.81
1ACRM009.86	70.44
1ACUB004.63	42.305
1ADIF010.57	31.12369774
1AELK005.38	47.76034325
1AFLL000.62	43.13629236
1AGAN000.32	71.49189621
1AGOO018.17	74.1
1AGOO021.28	64.97658131
1AGOO036.47	68.535
1AGOO039.63	69.09
1AKET011.03	60.03367761
1AKET012.22	41.57
1ALIV004.79	68.52
1ALOE001.99	27
1ALUC000.95	55.22976263
1ANOF004.80	50.45297794
1ANOG000.91	67.95278259
1AOPE028.72	48.74848394
1APIA003.51	69.025
1APOH008.54	28.65
1AWAC003.31	55.2827111
1AXGU000.18	67.83
1AXJS001.20	66.11521523
1AXKR000.77	74.68
1AXLB000.05	37.48
1AXLK000.04	71.51791429
1AXLR000.44	69.03
1AXMJ000.42_2012	75.915
1AXMJ000.42_2014	70.09
1BBGR004.08	75.005
1BBRY001.78	43.56223916
1BBRY005.09	71.24139668
1BBVR000.84	60.34986989
1BCDR010.21	68.11964612
1BCDR027.54	77.08625357
1BCPL002.83	49.94672063
1BDRI000.21	37.55981641
1BGSR000.58	66.62
1BHPY002.67	55.56375494
1BMDL025.92	66.31
1BMDL026.58	57.64236702
1BMIC001.99	44.475
1BMIL006.68	40.04
1BMSS001.35	52.25
1BNFS020.11	68.61492997
1BNFS048.74	59.38056284
1BNFS093.80	75.61
1BNFS102.55	62.25789483
1BNKW001.97	56.05837761
1BNTH046.56	70.81702097
1BPGH000.29	51.34
1BSMT001.53	67.99908248
1BSMT009.08	58.89336959
1BSTH005.36	58.54413033
1BSTH013.58	49.98
1BSTH029.45	56.15739694
2ABLD014.73	50.64
2AMLC000.84	67.655
2-APP037.08	67.665
2-APP080.58	62.505
2-APP082.00	70.29530925
2-APP095.21	47.04
2-APP114.05	65.41160737
2AXQS001.07	81.825
2BBAA003.06	68.25270947
2BBYR000.08	66.325
2BCBL002.86	77.39
2-BCC001.90	74.255
2-BCR007.68	63.575
2-BFL011.64	69.7274803
2-BFL016.79	61.12038223
2BGOW001.00	74.49
2-BGU005.95	62.28
2-BLB002.04	79.74627884
2-BLD012.09	61.30192974
2BLIR007.16	82.06
2BMCM014.13	56.47
2-BNF003.52	82.65137287
2BPRS001.90	80.76
2-BRI007.80	38.53168593
2BRKR012.86	61.25
2-BSR012.33	67.75
2-BSR018.10	59.015
2BTYS000.85	77.83615165
2-BVC003.09	73.11411404
2BWTN007.39	62.60752483
2BXAC000.38	62.37249004
2BXAD000.07	68.735
2BXAP001.46	61.77
2BXRK001.64_2012	73.34
2BXRK001.64_2014	66.54
2-BYN001.90	68.36
2-CAT007.31	61.14020983
2-CAT026.55	46.90739435
2-CAT028.98	67.19
2-CEL001.00	62.82698928
2-CHK070.14	63.26842231
2-CLL003.21	50.69802474
2-COO002.35	72.62541046
2-CRG015.50	80.99
2-CRG047.95	70.585
2-CRG074.32	69.06343505
2-CSR003.94	75.635
2-CWP006.87	79.575
2-CWP023.28	77.26989924
2-CWP042.31	65.60742209
2-CWP053.78	70.99086469
2DAPP050.84	60.385
2DAPP112.19	68.23
