sampleID	strahler order	Longitude-DD	Latitude-DD	stratum	design weight	weight category	station	state	status	comment	set	Basin	SubBasin	BayShed	BayPanel	EcoRegion	BioRegion	Year	Panel	BioPanel	Order	BasinSize	StreamSizeCat	StreamSizeCatPhase	IR2008	IR2010	IR2012	IR2014	IR2016
1AAUA017.60	3	-77.466395	38.490355	1	541.5024	3	1	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Piedmont	Piedmont	2005	Phase1	Phase2	3	3	Medium	Phase1Medium	2008	2010	2012	1	1
1ABED009.37	2	-77.5014	38.5503	1	947.6292	2	2	VA	TS	Y-TS	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Piedmont	Piedmont	2013	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
1ABUL009.61	5	-77.440307	38.799244	1	140.3895	5	3	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2005	Phase1	Phase2	5	3	Large	Phase1Large	2008	2010	2012	1	1
1ACAA000.83	2	-77.594242	38.826639	1	947.6292	2	4	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2003	Phase1	Phase1	2	2	Small	Phase1Small	2008	2010	1	1	1
1ACAH001.82	2	-77.293457	38.987548	1	947.6292	2	5	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2001	Phase1	Phase1	2	2	Small	Phase1Small	2008	1	1	1	1
1ACAX003.69	4	-77.5691624	39.2605543	1	315.8764	4	6	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2008	Phase2	Phase3	4	3	Large	Phase2Large	1	2010	2012	2014	1
1ACAX003.81	4	-77.5685	39.2577	1	315.8764	4	7	VA	TS	Target Wadeable	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2012	Phase2	Phase4	4	3	Large	Phase2Large	1	1	1	2014	2016
1ACER005.02	5	-77.51019552	38.65621954	1	140.3895	5	8	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2008	Phase2	Phase3	5	3	Large	Phase2Large	1	2010	2012	2014	1
1ACER012.66	4	-77.5851	38.6402	1	315.8764	4	9	VA	TS	Y-TS (fall only - high in spring)	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2014	Phase2	Phase4	4	3	Large	Phase2Large	1	1	1	1	2016
1ACHO003.47	3	-77.35954461	38.51829608	1	541.5024	3	10	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Piedmont	Piedmont	2009	Phase2	Phase3	3	3	Medium	Phase2Medium	1	1	2012	2014	2016
1ACRM009.86	2	-77.83834621	38.8877519	1	947.6292	2	11	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2006	Phase1	Phase2	2	2	Small	Phase1Small	2008	2010	2012	1	1
1ACUB004.63	4	-77.46378691	38.84146533	1	315.8764	4	12	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2009	Phase2	Phase3	4	3	Medium	Phase2Medium	1	1	2012	2014	2016
1ADIF010.57	3	-77.317491	38.902843	1	541.5024	3	13	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2002	Phase1	Phase1	3	3	Medium	Phase1Medium	2008	1	1	1	1
1AELK005.38	2	-77.67158	38.570636	1	947.6292	2	14	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2003	Phase1	Phase1	2	2	Small	Phase1Small	2008	2010	1	1	1
