"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"Region","Virginia","VSCIVCPMI","1Pct",2,18.0142871528506,"",14.15835219,22.8260282061482
"Region","Virginia","VSCIVCPMI","5Pct",22,34.0355694947074,"",26.7935019805266,37.4879930241803
"Region","Virginia","VSCIVCPMI","10Pct",43,39.1038108306102,"",37.5027946240314,41.1842995405284
"Region","Virginia","VSCIVCPMI","15Pct",77,43.2218352614641,"",40.0849208976671,45.9894969445375
"Region","Virginia","VSCIVCPMI","20Pct",106,46.7786272297516,"",44.2659239830307,48.7488390174193
"Region","Virginia","VSCIVCPMI","25Pct",137,49.9747203207262,"",47.06490893866,51.7719504746375
"Region","Virginia","VSCIVCPMI","30Pct",177,52.9093634496586,"",50.4760413382538,54.7333003527689
"Region","Virginia","VSCIVCPMI","35Pct",213,55.2642530524781,"",53.512538834666,56.9039369367713
"Region","Virginia","VSCIVCPMI","40Pct",249,57.4811173339845,"",55.6051416849709,59.6657714108331
"Region","Virginia","VSCIVCPMI","45Pct",294,59.9146751973909,"",58.5024121022746,61.3004798924104
"Region","Virginia","VSCIVCPMI","50Pct",337,61.7429997900387,"",60.0524408362501,63.4150975031418
"Region","Virginia","VSCIVCPMI","55Pct",386,63.6676831528717,"",61.9380233267739,65.2795725440928
"Region","Virginia","VSCIVCPMI","60Pct",423,65.6199436755568,"",63.8700908149229,67.0040853307698
"Region","Virginia","VSCIVCPMI","65Pct",458,67.3788819866436,"",65.9923040954059,68.2526942156643
"Region","Virginia","VSCIVCPMI","70Pct",495,68.7372825955096,"",67.7857388238517,69.9807865760184
"Region","Virginia","VSCIVCPMI","75Pct",547,70.3954877650383,"",69.0609090317528,71.9618448743843
"Region","Virginia","VSCIVCPMI","80Pct",599,72.473480839232,"",71.3488277219124,73.9532332205544
"Region","Virginia","VSCIVCPMI","85Pct",640,74.4964215490482,"",73.0797086252485,75.6144197254818
"Region","Virginia","VSCIVCPMI","90Pct",669,76.3092721640719,"",75.3354254469261,77.4450989648737
"Region","Virginia","VSCIVCPMI","95Pct",703,79.6108096731525,"",77.6966587600268,81.2560270211738
"Region","Virginia","VSCIVCPMI","99Pct",728,82.429060826214,"",81.9465293752753,88.14
"Region","Virginia","VSCIVCPMI","Mean",735,59.5131894961185,"0.637882342357866",58.262963078723,60.763415913514
"Region","Virginia","VSCIVCPMI","Variance",735,207.822103244792,"14.3735646179662",179.650434264119,235.993772225465
"Region","Virginia","VSCIVCPMI","Std. Deviation",735,14.4160363222625,"0.498526928507016",13.4389414970654,15.3931311474596
"Region","Roanoke Basin","VSCIVCPMI","1Pct",1,23.25096615,"",23.25096615,30.5531786337311
"Region","Roanoke Basin","VSCIVCPMI","5Pct",3,33.0471606850801,"",23.25096615,38.1871331169521
"Region","Roanoke Basin","VSCIVCPMI","10Pct",9,38.3824992756735,"",31.5511735117971,44.8937955520756
"Region","Roanoke Basin","VSCIVCPMI","15Pct",19,43.7883019548854,"",37.8423370104628,47.5900151376199
"Region","Roanoke Basin","VSCIVCPMI","20Pct",27,46.9913702572273,"",39.8500185491085,51.4076860151825
"Region","Roanoke Basin","VSCIVCPMI","25Pct",35,50.5883263943064,"",46.1280184460139,54.5239842810173
"Region","Roanoke Basin","VSCIVCPMI","30Pct",50,54.4174325856333,"",47.8741102041322,55.6418352418362
"Region","Roanoke Basin","VSCIVCPMI","35Pct",53,54.7204530975089,"",51.3938814690354,58.5232585712401
"Region","Roanoke Basin","VSCIVCPMI","40Pct",62,56.0019606936295,"",54.4573811026822,60.8010505710004
"Region","Roanoke Basin","VSCIVCPMI","45Pct",73,59.7793000096251,"",55.0604704275846,62.318072861257
"Region","Roanoke Basin","VSCIVCPMI","50Pct",79,61.2193885879281,"",57.4152412368645,64.3455209558366
"Region","Roanoke Basin","VSCIVCPMI","55Pct",93,63.3166148600481,"",60.0449811582516,65.4502876162903
"Region","Roanoke Basin","VSCIVCPMI","60Pct",98,64.7332120175624,"",61.2755428183012,66.5566477652863
"Region","Roanoke Basin","VSCIVCPMI","65Pct",102,65.7532259495597,"",63.8210281928522,68.7926888753591
"Region","Roanoke Basin","VSCIVCPMI","70Pct",113,67.5512423543341,"",65.2371505628598,70.0402628030477
"Region","Roanoke Basin","VSCIVCPMI","75Pct",124,69.745449660281,"",66.481740776866,72.0010252822245
"Region","Roanoke Basin","VSCIVCPMI","80Pct",130,71.6080743115979,"",68.8331010030755,74.053687729132
"Region","Roanoke Basin","VSCIVCPMI","85Pct",138,73.5864050456496,"",71.3835001294174,75.0661648743421
"Region","Roanoke Basin","VSCIVCPMI","90Pct",146,74.5604903250459,"",72.6941978270961,77.9039002991595
"Region","Roanoke Basin","VSCIVCPMI","95Pct",152,77.1672258874107,"",74.9587413076188,79.596467195077
"Region","Roanoke Basin","VSCIVCPMI","99Pct",155,79.5139052177522,"",77.9972117392982,85.4
"Region","Roanoke Basin","VSCIVCPMI","Mean",159,58.9826346353149,"1.28320959259086",56.4675900492205,61.4976792214092
"Region","Roanoke Basin","VSCIVCPMI","Variance",159,187.349771912363,"27.5362567114205",133.379700488929,241.319843335796
"Region","Roanoke Basin","VSCIVCPMI","Std. Deviation",159,13.6875772842517,"1.00588497655836",11.7160789576074,15.659075610896
"Region","James Basin","VSCIVCPMI","1Pct",1,29.7929885963535,"",28.685,31.808071220603
"Region","James Basin","VSCIVCPMI","5Pct",4,38.9100939681672,"",31.2029176917568,45.264986836607
"Region","James Basin","VSCIVCPMI","10Pct",14,47.4976867743041,"",38.7959735361897,53.8105309565868
"Region","James Basin","VSCIVCPMI","15Pct",24,52.5248969936787,"",46.5059399332552,57.0722432425067
"Region","James Basin","VSCIVCPMI","20Pct",33,56.5905595333477,"",49.9685528317785,59.713079969572
"Region","James Basin","VSCIVCPMI","25Pct",45,59.0382529353548,"",55.5526951051598,61.6936528762766
"Region","James Basin","VSCIVCPMI","30Pct",54,61.108060506209,"",57.6515829514237,63.2768169926723
"Region","James Basin","VSCIVCPMI","35Pct",62,62.3366212288358,"",59.7293870205043,65.9280761100843
"Region","James Basin","VSCIVCPMI","40Pct",76,64.5750419994768,"",61.6978343784161,67.5492606590738
"Region","James Basin","VSCIVCPMI","45Pct",86,66.5338471163238,"",63.2552179985576,68.2347437290296
"Region","James Basin","VSCIVCPMI","50Pct",96,67.7160989865386,"",65.7015325932408,69.2672806786659
"Region","James Basin","VSCIVCPMI","55Pct",101,68.3737791521629,"",67.4970238113874,71.4459877158008
"Region","James Basin","VSCIVCPMI","60Pct",111,69.8576308573755,"",67.8577616523599,72.4992033876028
"Region","James Basin","VSCIVCPMI","65Pct",128,72.2582247002726,"",68.7894242262875,73.6807485854728
"Region","James Basin","VSCIVCPMI","70Pct",130,72.5776733176965,"",71.4242992490072,75.5978551742563
"Region","James Basin","VSCIVCPMI","75Pct",145,74.7612882374211,"",72.500311864947,76.5057303300373
"Region","James Basin","VSCIVCPMI","80Pct",150,75.6867745031698,"",73.8570241006927,77.3097004189333
"Region","James Basin","VSCIVCPMI","85Pct",156,76.8694404532243,"",75.6856092680636,80.2731166463197
"Region","James Basin","VSCIVCPMI","90Pct",166,79.6270697577498,"",76.8341971436627,81.8873363179781
"Region","James Basin","VSCIVCPMI","95Pct",174,81.8320803613811,"",79.6940971240581,82.5668520727854
"Region","James Basin","VSCIVCPMI","99Pct",176,82.4781273090561,"",81.9050104991092,82.65137287
"Region","James Basin","VSCIVCPMI","Mean",178,65.4802734109763,"1.04268508171417",63.4366482035993,67.5238986183533
"Region","James Basin","VSCIVCPMI","Variance",178,144.380190703023,"21.197252282008",102.834339659078,185.926041746968
"Region","James Basin","VSCIVCPMI","Std. Deviation",178,12.0158308369843,"0.882055205735903",10.2870344013659,13.7446272726028
"Region","Potomac-Shenandoah","VSCIVCPMI","1Pct",1,27,"",27,31.4673792106133
"Region","Potomac-Shenandoah","VSCIVCPMI","5Pct",3,34.5284114744651,"",31.2776776398125,37.4837563828253
"Region","Potomac-Shenandoah","VSCIVCPMI","10Pct",4,37.5330269597736,"",31.2738034414606,39.3840844006693
"Region","Potomac-Shenandoah","VSCIVCPMI","15Pct",5,37.8375398272185,"",35.1150995022428,42.4743547084639
"Region","Potomac-Shenandoah","VSCIVCPMI","20Pct",8,40.4237660878605,"",37.5150607475523,49.4443439876
"Region","Potomac-Shenandoah","VSCIVCPMI","25Pct",12,42.7841242722594,"",37.6853431873266,51.2003871127375
"Region","Potomac-Shenandoah","VSCIVCPMI","30Pct",17,48.0457820887884,"",40.0622490044412,54.9157534545592
"Region","Potomac-Shenandoah","VSCIVCPMI","35Pct",22,50.9982890145664,"",41.254136764778,56.1162934062819
"Region","Potomac-Shenandoah","VSCIVCPMI","40Pct",25,53.6092377625669,"",43.6251769763993,60.141197877178
"Region","Potomac-Shenandoah","VSCIVCPMI","45Pct",30,55.7463154455156,"",50.1707231033166,63.620413691417
"Region","Potomac-Shenandoah","VSCIVCPMI","50Pct",37,58.9673745904956,"",51.2650669809865,65.6976459758273
"Region","Potomac-Shenandoah","VSCIVCPMI","55Pct",44,61.6457496752469,"",55.2529933478508,66.9877415989202
"Region","Potomac-Shenandoah","VSCIVCPMI","60Pct",51,65.0657021089695,"",56.4481030210657,68.4386677532479
"Region","Potomac-Shenandoah","VSCIVCPMI","65Pct",53,66.3529257224496,"",60.2176090457459,69.0278242619905
"Region","Potomac-Shenandoah","VSCIVCPMI","70Pct",54,67.727538353612,"",63.618405224136,70.3324413271271
"Region","Potomac-Shenandoah","VSCIVCPMI","75Pct",62,69.0252889685696,"",65.9989283051043,71.4997533208123
"Region","Potomac-Shenandoah","VSCIVCPMI","80Pct",63,69.0525896388371,"",67.6877876790216,74.2688255784964
"Region","Potomac-Shenandoah","VSCIVCPMI","85Pct",70,71.2549278467415,"",69.0024052960707,74.6139887960691
"Region","Potomac-Shenandoah","VSCIVCPMI","90Pct",74,74.254699305708,"",69.0516586254639,77.08625357
"Region","Potomac-Shenandoah","VSCIVCPMI","95Pct",75,74.6032725515156,"",71.5206606953634,77.08625357
"Region","Potomac-Shenandoah","VSCIVCPMI","99Pct",78,75.71901496715,"",74.7412453014997,77.08625357
"Region","Potomac-Shenandoah","VSCIVCPMI","Mean",80,56.8812895480286,"1.82771846300954",53.299027186651,60.4635519094062
"Region","Potomac-Shenandoah","VSCIVCPMI","Variance",80,186.365243692884,"18.0264143795285",151.034120738613,221.696366647155
"Region","Potomac-Shenandoah","VSCIVCPMI","Std. Deviation",80,13.6515656132505,"0.660232492382841",12.357533706757,14.945597519744
"Region","Rappahannock-York","VSCIVCPMI","1Pct",1,14.15835219,"",14.15835219,25.9631566410536
"Region","Rappahannock-York","VSCIVCPMI","5Pct",3,24.5637614949773,"",14.15835219,42.0866404006654
"Region","Rappahannock-York","VSCIVCPMI","10Pct",6,38.6375119637652,"",14.441570941312,42.972629735851
"Region","Rappahannock-York","VSCIVCPMI","15Pct",11,42.788949448492,"",30.1993560965393,44.1920090781476
"Region","Rappahannock-York","VSCIVCPMI","20Pct",13,43.7916571880713,"",42.4367116778906,47.6121628303974
"Region","Rappahannock-York","VSCIVCPMI","25Pct",16,47.0143808358498,"",42.7885711627539,48.5236159868659
"Region","Rappahannock-York","VSCIVCPMI","30Pct",18,47.7182113667027,"",43.5619125525685,49.7470861051605
