"DataSource","StationID","Year","StationID_Trend","LongitudeDD","LatitudeDD","stratum","designweight","weightcategory","station","state","status","comment","set","Basin","SubBasin","BayShed","BayPanel","EcoRegion","BioRegion","Panel","BioPanel","Order","BasinSize","StreamSizeCat","StreamSizeCatPhase","AREA_SQ_MILES","IR2008","IR2010","IR2012","IR2014","IR2016","IR2018","designweighttrend","designweightoriginal","filwgt_trend","filwgt_orgil","DO","pH","SpCond","TN","TP","TDS","NH4","NO3","TKN","Ortho-P","Turb","TSS","Na","K","Cl","Sf","70331VFine","SSCCOARSE","SSCFINE","SSCTOTAL","LRBS","Slope","FN_PCT","SA_PCT","SA_FN_PCT","LSUB_DMM","BL_CB_GR_Embed_PCT","Embed_PCT","TotHab","TotTaxa","EPTTax","VEphem","VPTHydropsychidae","VScrap","VChiro","V2Dom","HBI","VHapto","EPTInd","VSCIVCPMI","MetalCCU","ARSENICppm","BERYLLIUMppm","CADMIUMppm","CHROMIUMppm","COPPERppm","LEADppm","MANGppm","NICKELppm","SILVERppm","ZINCppm","ANTIMONYppm","ALUMINUMppm","SELENIUMppm","IRONppm","MERCURYppm","THALLIUMppm","CALCIUM","MAGNESIUM","ARSENIC","BARIUM","BERYLLIUM","CADMIUM","CHROMIUM","COPPER","IRON","LEAD","MANGANESE","THALLIUM","NICKEL","SILVER","ZINC","ANTIMONY","ALUMINUM","SELENIUM","HARDNESS","MERCURY","Hg-C","YearSampled","NLCD","totalArea_sqMile","PWater","N_INDEX","PFOR","PWETL","PSHRB","PNG","PBAR","PTotBAR","U_INDEX","PURB","PMBAR","PAGT","PAGP","PAGC","S","H","Hprime","C","RNAT1","RFOR1","RWETL1","RSHRB1","RNG1","RBAR1","RTotBAR1","RHUM1","RURB1","RMBAR1","RAGT1","RAGP1","RAGC1","RNAT30","RFOR30","RWETL30","RSHRB30","RNG30","RBAR30","RTotBAR30","RHUM30","RURB30","RMBAR30","RAGT30","RAGP30","RAGC30","RNAT120","RFOR120","RWETL120","RSHRB120","RNG120","RBAR120","RTotBAR120","RHUM120","RURB120","RMBAR120","RAGT120","RAGP120","RAGC120","sqMileImp","wshdImpPCT","MunMajor","MunMinor","IndMajor","IndMinor","damcount","STRMLEN","STRMDENS","ELEVMIN","ELEVMAX","ELEVMEAN","ELEVSD","ELEVRANGE","SLPMIN","SLPMAX","SLPMEAN","SLPSD","SLPRANGE","wshdRain_mmyr","siteRain_mmyr","wshedRain_inyr","siteRain_inyr","wshdPOP2000","wshdPOP2010","POPDENS2000","POPDENS2010","POPCHG2000_2010","RDLEN","RDLEN120","STXRD_CNT","RDDENS","pctRoadLengthInRiparian","STXRD"
"State ProbMon","1ACAH001.82",2001,"1ACAH001.82",-77.293457,38.987548,1,947.6292,2,6,"VA","TS","Target",1,"Potomac-Shenandoah","Potomac","Bay","BayPhase1","Northern Piedmont","Piedmont","Phase1","Phase1",2,2,"Small","Phase1Small",1.160623089,2008,1,1,1,1,1,947.6292,947.6292,NA,NA,"9.5500000000000007","7.3","157","4.95","0.09","115","0.04","4.2300000000000004","0.7","0.02","14.5","39","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","156",9,3.5,10.08,"5.5",9.51,0,63.935,5.04,69.985,47.5,43.63498888,"NA",5,5,1,35.8,14.6,8.5,377,25.9,1,42.3,5,5200,1,98200,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,1.160623089,0.149700599,43.74251497,39.16167665,0.988023952,4.191616766,0.209580838,0,52.90419162,55.2994012,55.17964072,52.90419162,0.119760479,0.119760479,0,12,1.167035533,0.469649648,0.595020797,62.5,62.5,12.5,0,0,0,25,25,25,25,0,0,0,49.42084942,44.01544402,7.335907336,5.405405405,0,0,42.85714286,43.24324324,43.24324324,42.85714286,0,0,0,46.23352166,40.39548023,3.29566855,5.084745763,0.188323917,0,49.71751412,50.56497175,50.56497175,49.71751412,0,0,0,0.035614449,3.068562874,0,0,0,0,0,3902.803293,1.298336808,80,122,104.7979415,8.097704374,42,0,10.73744392,3.15308931,1.789013211,10.73744392,2040.74,1020.37,80.34413787,40.17206894,1183.463029,1389.00044,394.3938857,462.8900671,17.36745521,"19773.356239930799","2937.5995529144402","6","3.8489563416623498","14.8563527469463","1.92841188203193"
"State ProbMon","1AFLL000.62",2001,"1AFLL000.62",-77.467681,38.86551,1,947.6292,2,17,"VA","TS","Target",1,"Potomac-Shenandoah","Potomac","Bay","BayPhase1","Northern Piedmont","Piedmont","Phase1","Phase1",2,2,"Small","Phase1Small",7.643432771,2008,1,1,1,1,1,947.6292,947.6292,NA,NA,"8.3000000000000007","7.25","357.85","7.2","0.5","236","0.04","0.74","49.2","0.4","10.3","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","150",10.5,2,1.635,"0",35.5,7.02,67.255,5.605,68.365,21,43.13629236,"NA",5,5,1,11.3,11,8.4,174,7.9,1,33.3,5,4800,1,10800,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,7.643432771,0.077286779,15.23913439,14.67539553,1.609383524,0.250045463,0.313693399,0,30.25095472,83.07419531,81.27386798,30.25095472,1.800327332,1.07292235,0.727404983,13,1.640988608,0.639774272,0.75714795,50,45.83333333,16.66666667,0,4.166666667,0,25,33.33333333,33.33333333,25,0,0,0,48.47328244,47.61450382,13.45419847,0,0.858778626,0,25.85877863,37.5,36.64122137,25.85877863,0.858778626,0.095419847,0.763358779,33.63871271,32.7460653,6.64787409,0.117453606,0.775193798,0,30.04463237,59.12614517,57.2703782,30.04463237,1.855766972,1.245008222,0.61075875,1.957265742,25.60715585,0,0,0,0,0,15910.87241,0.80372496,67,146,102.0956725,15.24744028,79,0,13.99952984,2.494163616,1.716231779,13.99952984,2011.66,999.44,79.19925537,39.34805274,24118.51157,30220.11525,1218.509676,1526.773438,25.2984255,"218997.35481547899","26218.604850750198","26","6.8608982774668199","11.9721102900267","1.6364408415173199"
"State ProbMon","1ALUC000.95",2001,"1ALUC000.95",-77.523436,38.611379,1,947.6292,2,32,"VA","TS","Target",1,"Potomac-Shenandoah","Potomac","Bay","BayPhase1","Northern Piedmont","Piedmont","Phase1","Phase1",2,2,"Small","Phase1Small",2.389354598,2008,1,1,1,1,1,947.6292,947.6292,NA,NA,"8.9","7.06","67","0.67","0.02","56","0.04","0.06","0.6","0.02","8.3000000000000007","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","189",12,5,14.225,"37.9",13.545,0,67.545,4.28,91.28,50,55.22976263,"NA",5,5,1,14.4,6.4,8.1,207,6.7,1,16.9,5,4880,1,7150,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,2.389354598,0,94.21175102,91.55031995,1.934264107,2.428737638,0.232693426,0,3.548574753,3.853984875,3.853984875,3.548574753,0,0,0,9,0.902839909,0.41090015,0.421231448,53.84615385,53.84615385,46.15384615,0,0,0,0,0,0,0,0,0,0,74.15458937,74.15458937,24.87922705,0,0,0,0.966183575,0.966183575,0.966183575,0.966183575,0,0,0,90.11384062,90.11384062,8.388256441,0,0,0,1.437986818,1.497902936,1.497902936,1.437986818,0,0,0,0.006525899,0.273123909,0,0,0,0,0,6143.655031,0.992768817,56,135,99.65800525,18.61593211,79,0,15.81345749,4.354354013,2.422842446,15.81345749,1007.65,993.57,39.67128127,39.11695026,0.072139913,0,0.011648594,0,-100,"12171.728731134101","695.04712478993201","2","0.47052550583780001","5.7103402494673503","0.33209368023338598"
"State ProbMon","1BBVR000.84",2001,"1BBVR000.84",-79.038416,38.420286,1,947.6292,2,55,"VA","TS","Target",1,"Potomac-Shenandoah","Shenandoah","Bay","BayPhase1","Central Appalachian Ridges and Valleys","Mountain","Phase1","Phase1",2,3,"Medium","Phase1Medium",13.42361375,2008,1,1,1,1,1,947.6292,947.6292,NA,NA,"10.55","8.1","116","2.14","0.04","111","NA","1.9","0.2","NA","13.3","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","110",17.5,8,36.48,"6.95",14.805,28.44,50.4,4.795,67.57,161,60.34986989,"NA",5,5,1,5,5,5,39.4,5,1,7.1,5,1510,1,3400,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,13.42361375,0.064716542,63.62412633,63.62412633,0,0,0,0,2.146000518,36.31115713,3.492104582,2.146000518,32.81905255,30.5332643,2.285788247,10,1.290725082,0.560554781,0.640317508,53.84615385,53.84615385,0,0,0,0,5.128205128,46.15384615,7.692307692,5.128205128,38.46153846,35.8974359,2.564102564,52.66272189,52.66272189,0,0,0,0,5.917159763,45.75936884,12.4260355,5.917159763,33.33333333,31.75542406,1.57790927,48.42392653,48.42392653,0,0,0,0,7.942417473,50.9555721,14.02333085,7.942417473,36.93224125,34.17721519,2.755026061,0.086650591,0.645508672,0,0,0,0,1,15153.36528,0.435854524,400,1009,546.7008257,129.0653467,609,0,37.51356888,8.785967177,5.745315536,37.51356888,3634.17,857.7,143.0776363,33.76773477,343.7371216,576.834214,9.88629093,16.59044223,67.81260379,"98031.113183846406","21337.930108961798","22","6.4235795840584098","21.766487613932199","1.5922105112148599"
"State ProbMon","1BCPL002.83",2001,"1BCPL002.83",-78.008437,39.102092,1,947.6292,2,59,"VA","TS","Target",1,"Potomac-Shenandoah","Shenandoah","Bay","BayPhase1","Central Appalachian Ridges and Valleys","Mountain","Phase1","Phase1",2,2,"Small","Phase1Small",4.923613336,2008,1,1,1,1,1,947.6292,947.6292,NA,NA,"10.75","8.0500000000000007","466","2.67","0.01","381","0.04","2.56","0.1","0.02","7.6","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","171",9.5,3.5,21.215,"11.95",18.485,11.71,53.615,5.745,53.835,40.5,49.94672063,"NA",5,5,1,24.7,7.8,9.7,439,11.2,1,17.5,5,10300,1,13000,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,4.923613336,0.148210883,23.1279554,23.02209048,0.148210883,0,0,0,4.905074458,76.68148775,5.667301856,4.905074458,71.0141859,70.15315125,0.861034653,11,0.978855993,0.408214656,0.470955309,29.41176471,23.52941176,5.882352941,0,0,0,5.882352941,70.58823529,5.882352941,5.882352941,64.70588235,64.70588235,0,24.17391304,21.91304348,2.782608696,0,0,0,6.608695652,69.56521739,8.869565217,6.608695652,60.69565217,60.69565217,0,23.70017331,22.79029463,1.169844021,0,0,0,7.019064125,73.44020797,8.01559792,7.019064125,65.42461005,65.42461005,0,0.024640654,0.500458748,0,0,0,0,0,8635.721082,0.677199424,159,205,189.1539932,8.285363194,46,0,9.371626854,2.195936396,1.562014617,9.371626854,5707.68,948.21,224.7119324,37.33112252,413.7625319,258.9796308,32.41859221,20.2912405,-37.40863155,"54699.809530897001","7195.3466960034602","9","3.9673416833851198","13.1542445169561","1.19756832407741"
"State ProbMon","1BDRI000.21",2001,"1BDRI000.21",-78.451691,38.686111,1,3790.5166,1,60,"VA","TS","Target",1,"Potomac-Shenandoah","Shenandoah","Bay","BayPhase1","Central Appalachian Ridges and Valleys","Mountain","Phase1","Phase1",1,3,"Medium","Phase1Medium",13.8826506,2008,1,1,1,1,1,3790.5166,3790.5166,NA,NA,"6.6","7.45","206.5","1.32","0.02","200","0.04","1.21","0.1","0.02","1.7","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","147.5",8.5,4.5,31.925,"0.2",26.52,64.13,92.58,5.35,33.46,43,37.55981641,"NA",5,5,1,11.8,5,7.9,344,5,1,21.3,5,3630,1,15400,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,13.8826506,0.540662311,62.90455808,62.90455808,0,0,0,0,8.295161573,36.55477961,13.99214037,8.295161573,22.56263923,21.16592826,1.396710971,10,1.505525708,0.653841507,0.698033991,54.54545455,54.54545455,0,0,0,0,22.72727273,40.90909091,36.36363636,22.72727273,4.545454545,4.545454545,0,48.36601307,48.36601307,0,0,0,0,20.58823529,48.36601307,28.92156863,20.58823529,19.44444444,19.44444444,0,34.63732681,34.63732681,0,0,0,0,20.45639772,62.18418908,31.25509372,20.45639772,30.92909535,29.99185004,0.937245314,0.370541083,2.669094641,0,0,0,0,2,9063.679089,0.252077475,230,1224,461.4109397,208.5862241,994,0,43.03159714,11.29297822,9.703578779,43.03159714,5082.03,928.3,200.0800293,36.54726383,1656.09418,1947.30354,46.0563323,54.15492669,17.5841062,"131126.666472824","15570.3274415539","14","7.3084821317897504","11.8742646788637","1.6032474385142399"
"State ProbMon","2-APP082.00",2001,"2-APP082.00",-78.10155,37.445619,1,140.3895,5,86,"VA","TS","Target",1,"James","James","Bay","BayPhase1","Piedmont","Piedmont","Phase1","Phase1",5,4,"Large","Phase1Large",627.6521091,2008,1,1,1,1,1,140.3895,140.3895,NA,NA,"10.7","7.5650000000000004","107.5","0.25","0.02","75","0.04","0.04","0.2","0.02","3.1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","90",14.5,6.5,24.645,"30.6",24.045,13.86,36.365,3.745,63.41,57.5,70.29530925,"NA",5,5,1,7.4,5,5,881,5,1,17.5,5,1280,1,4780,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,627.6521091,0.799342278,72.26789427,66.25915233,3.923188289,2.625793432,3.053201826,0.29558723,3.193715104,23.04373462,3.828128677,2.898127874,19.21560594,18.90329885,0.312307092,15,1.633396938,0.603163463,0.709524473,59.0487586,56.41639246,30.42177685,1.166616811,1.226443314,0,0.807657792,5.982650314,0.95722405,0.807657792,5.025426264,4.995513012,0.029913252,60.77721963,58.10409441,27.62727744,1.296694973,1.17310529,0.020930511,0.729577802,7.528007017,0.991707531,0.708647291,6.536299486,6.486464936,0.049834549,69.28988524,64.5564639,15.3996141,2.346146034,2.167411394,0.121610643,1.26434447,12.77673403,1.567736366,1.142733828,11.20899766,11.09474967,0.114247994,3.420304118,0.54493629,1,1,0,2,70,1510350.459,0.929096132,67,299,148.8052286,37.26637404,232,0,31.29141808,4.427033222,2.638183659,31.29141808,189374.69,1073.47,7455.700483,42.26262125,28957.26379,33455.50661,17.81316304,20.58027298,15.53407411,"5824173.7019372201","531274.25763137697","693","1.5336884742454999","9.1218820869759796","0.469353550076682"
"State ProbMon","2-BFL016.79",2001,"2-BFL016.79",-78.539223,37.204166,1,541.5024,3,98,"VA","TS","Target",1,"James","James","Bay","BayPhase1","Piedmont","Piedmont","Phase1","Phase1",3,3,"Medium","Phase1Medium",21.31411329,2008,1,1,1,1,1,541.5024,541.5024,NA,NA,"10.79","7.2350000000000003","109.5","0.25","0.02","80","0.04","0.04","0.2","0.02","2.6","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","94",19,5.5,20.205,"13.8",15.885,20.01,37.575,4.71,56.925,48.5,61.12038223,"NA",5,5,1,6.2,5,5,622,5,1,5.1,5,1660,1,3820,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,21.31411329,0.725500106,69.68061692,65.53466912,2.093353115,2.039551983,2.031400297,0.06684383,2.328121688,27.50868155,2.401486868,2.261277858,25.10719468,24.94090027,0.166294406,14,1.471316982,0.557516112,0.681919851,50.86206897,49.13793103,31.03448276,0.862068966,0.862068966,0,1.724137931,12.06896552,1.724137931,1.724137931,10.34482759,10.34482759,0,62.09557732,58.83051351,18.52181656,2.107450282,0.949836747,0.17809439,1.038883942,14.51469279,0.860789552,0.860789552,13.65390324,13.65390324,0,71.35796837,67.63990268,9.245742092,2.128953771,1.399026764,0.152068127,1.03406326,16.61344282,0.88959854,0.881995134,15.72384428,15.625,0.098844282,0.035544951,0.166767204,0,0,0,0,5,50643.71828,0.91740315,114,209,161.9912042,17.05618599,95,0,18.18865395,4.059356757,2.454590963,18.18865395,5452.14,1089.35,214.651297,42.88781844,455.1936464,386.7603329,8.246115528,7.006403565,-15.03389031,"187132.22359207601","20914.697710476299","40","1.7699644290554299","11.176427719935401","0.79114425188923898"
"State ProbMon","2-BNF003.52",2001,"2-BNF003.52",-79.20181,37.718773,1,947.6292,2,108,"VA","TS","Target",1,"James","James","Bay","BayPhase1","Blue Ridge Mountains","Mountain","Phase1","Phase1",2,2,"Small","Phase1Small",5.322186594,2008,1,1,1,1,1,947.6292,947.6292,NA,NA,"11.045","7.4550000000000001","13.75","0.15","0.04","19","0.04","0.04","0.1","0.03","1.1000000000000001","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","184",19.5,13,46.08,"34.85",34.29,3.365,53.33,3.43,92.01,90.5,82.65137287,"NA",5,5,1,6.4,6.3,14,459,5.4,1,90.9,5,15000,1,26300,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,5.322186594,0,98.48524419,98.48524419,0,0,0,0,1.514755811,1.514755811,1.514755811,1.514755811,0,0,0,4,0.344018426,0.248156838,0.146639897,97.14285714,97.14285714,0,0,0,0,2.857142857,2.857142857,2.857142857,2.857142857,0,0,0,93.29949239,93.29949239,0,0,0,0,5.482233503,6.700507614,5.583756345,5.482233503,1.116751269,1.116751269,0,91.7287439,91.7287439,0,0,0,0,7.808887747,8.271256101,7.937323401,7.808887747,0.3339327,0.3339327,0,0.001042476,0.01958736,0,0,0,0,0,14587.97797,1.058295416,453,1225,901.3282781,168.044253,772,0.355126977,41.56312943,19.99397642,6.839175153,41.20800245,1050.61,1050.61,41.36262076,41.36262076,63.06268237,24.72043866,4.577631515,1.794421912,-60.80021062,"2849.90576429667","3077.3421152375699","3","1.0557771660028501","107.98048671609401","0.24732106235408599"
"State ProbMon","2-CEL001.00",2001,"2-CEL001.00",-77.40824,37.437651,1,541.5024,3,130,"VA","TS","Target",1,"James","James","Bay","BayPhase1","Southeastern Plains","Coast","Phase1","Phase1",3,3,"Medium","Phase1Medium",10.04216965,2008,1,1,1,1,1,541.5024,541.5024,NA,NA,"11.26","6.56","136","0.94","0.02","63","0.04","0.73","0.2","0.02","3.8","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","121.5",12,4.5,12.07,"14.75",10.31,17.55,61.865,5.39,65.34,67,62.82698928,"NA",5,5,1,5,5,5,14.3,5,1,31.2,5,929,1,1460,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2001,2001,10.04216965,0.629779577,34.50292398,30.20865774,6.533098031,3.962074812,0.183397349,0.11765113,17.5507803,58.36534136,29.16363888,17.43312917,29.20170248,9.955361777,19.2463407,15,2.211418239,0.816609027,0.868341425,14.63414634,7.317073171,68.29268293,0,0,0,9.756097561,21.95121951,14.63414634,9.756097561,7.317073171,0,7.317073171,17.40994854,12.17838765,56.51801029,2.144082333,0.085763293,0,10.46312178,26.15780446,16.03773585,10.46312178,10.12006861,3.001715266,7.118353345,26.69400086,21.66594735,33.05999137,2.934829521,0.280535175,0.237375917,12.1277514,39.42598187,21.32067328,11.89037549,18.10530859,6.387570134,11.71773845,0.69392056,6.910066092,0,0,0,0,0,17501.4129,0.672895261,0,51,39.96878812,9.361452557,51,0,17.82733345,1.427448185,1.812716781,17.82733345,2197.2,1098.98,86.50398372,43.2669525,2562.707004,4306.657323,98.5184841,165.5613967,68.05110049,"127173.450464619","25808.319616200901","25","6.6168505447424204","20.293795223698101","1.52478076433826"
