name,oldpopPCT_VSCIat60,newpopPCT_VSCIat60,absdiff,,,,name,oldpopPCT_VSCIat60,newpopPCT_VSCIat60,absdiff
estimateVirginia,45.3854787,45.30705345,0.078425248,,,,estimate2014,47.45880193,41.59004302,5.868758911
estimateRoanoke,45.23094371,45.23083406,0.000109649,,,,estimateBigSandy,81.44919067,78.29128253,3.157908144
estimateJames,28.04992709,28.08586385,0.035936768,,,,estimate2013,48.21232334,45.27658848,2.935734864
estimatePotomacShenandoah,51.01831327,51.01695744,0.001355827,,,,estimate2015,30.89893631,33.48872,2.589783695
estimateRappahannockYork,61.90698321,61.83670757,0.070275642,,,,estimateBayPhase1,46.3906018,44.23419088,2.156410923
estimateNew,37.35582683,37.33704985,0.018776985,,,,estimate2016,58.52897175,60.04625048,1.517278727
estimateChowan,69.14475294,69.21248652,0.067733586,,,,estimateBioPanelPhase1,49.11137139,47.70633668,1.405034709
estimateTennessee,44.30590644,43.62912205,0.67678439,,,,estimate2011,34.18668406,35.33770088,1.151016821
estimateHolston,6.435214838,6.433982128,0.00123271,,,,estimateIR2008,46.16526586,45.30320075,0.862065103
estimateBigSandy,81.44919067,78.29128253,3.157908144,,,,estimatePhase1Small,47.35982348,46.61035457,0.749468914
estimateClinchPowell,36.92381826,36.71669518,0.207123079,,,,estimateIR2010,43.00472252,42.27070257,0.734019941
estimatePotomac,48.79468074,48.81041432,0.015733575,,,,estimateTennessee,44.30590644,43.62912205,0.67678439
estimateShenandoah,54.86602182,54.83483818,0.031183642,,,,estimateBioPanelPhase3,44.34124059,45.01305405,0.671813465
estimateRappahannock,61.13284568,61.07935901,0.053486668,,,,estimateFifthOrder,34.28571533,34.95145631,0.665740978
estimateYork,46.80701852,46.72058588,0.08643264,,,,estimatePhase1,45.41041439,44.77237699,0.638037401
estimatePiedmont,52.99938894,52.98636404,0.013024907,,,,estimate2004,24.59890385,25.22780232,0.628898473
estimateNorthernPiedmont,46.40660736,46.39131438,0.015292975,,,,estimatePhase1Medium,52.25545882,51.63931046,0.616148356
estimateCARV,29.00783308,29.02026432,0.012431241,,,,estimateNonBayPhase1,44.62676198,45.21850704,0.591745063
estimateSEplains,63.63648303,63.68841275,0.051929718,,,,estimateIR2016,45.43922992,44.87572128,0.563508638
estimateBRM,15.20336767,15.21810535,0.014737685,,,,estimateBioPanelPhase4,46.32340668,45.84709999,0.476306691
estimateMountainBioregion,31.6682585,31.51263203,0.155626465,,,,estimateIR2014,43.97126486,44.39754297,0.426278108
estimatePiedmontBioregion,51.58114023,51.56733064,0.013809597,,,,estimatePhase1Large,25.00029499,25.40617302,0.405878034
estimateCoastBioregion,69.77145077,69.80669926,0.03524849,,,,estimate2009,52.3704305,51.99639532,0.374035185
estimateFirstOrder,48.43078955,48.28722003,0.143569524,,,,estimateIR2018,47.56856814,47.22105913,0.34750901
estimateSecondOrder,45.95300261,45.95300261,0,,,,estimate2010,20.10707971,20.45425635,0.347176638
estimateThirdOrder,41.61676647,41.56626506,0.050501407,,,,estimatePhase2Small,47.94528734,47.61547304,0.329814294
estimateFourthOrder,27.95275591,27.95275591,0,,,,estimateNonBayPhase2,50.54094423,50.27182534,0.269118895
estimateFifthOrder,34.28571533,34.95145631,0.665740978,,,,estimate2005,42.8955082,42.63285835,0.262649854
estimateBasin1,43.83459127,43.83447981,0.000111458,,,,estimatePhase2,45.3568413,45.11514113,0.241700176
