"siteID","Year","Longitude-DD","Latitude-DD","finalweight_all","TN","TP","TDS","LRBS","TotHab","VSCIVCPMI","MetalCCU","VSCIstatus","TotHabstatus","TNstatus","TPstatus","TDSstatus","MetalCCUstatus","LRBSstatus"
"1ACAH001.82",2001,-77.293457,38.987548,54.1782178217822,4.95,0.09,115,NA,156,43.63498888,NA,"Poor","Good","Poor","Poor",NA,NA,NA
"1AFLL000.62",2001,-77.467681,38.86551,54.1782178217822,7.2,0.5,236,NA,150,43.13629236,NA,"Poor",NA,"Poor","Poor",NA,NA,NA
"1ALUC000.95",2001,-77.523436,38.611379,54.1782178217822,0.67,0.02,56,NA,189,55.22976263,NA,NA,"Good","Good","Good","Good",NA,NA
"1BBVR000.84",2001,-79.038416,38.420286,54.1782178217822,2.14,0.04,111,NA,110,60.34986989,NA,"Good","Poor","Poor",NA,NA,NA,NA
"1BCPL002.83",2001,-78.008437,39.102092,54.1782178217822,2.67,0.01,381,NA,171,49.94672063,NA,"Poor","Good","Poor","Good","Poor",NA,NA
"1BDRI000.21",2001,-78.451691,38.686111,218.379530916844,1.32,0.02,200,NA,147.5,37.55981641,NA,"Poor",NA,NA,"Good",NA,NA,NA
"2-APP082.00",2001,-78.10155,37.445619,11.4655761589404,0.25,0.02,75,NA,90,70.29530925,NA,"Good","Poor","Good","Good","Good",NA,NA
"2-BFL016.79",2001,-78.539223,37.204166,37.956487804878,0.25,0.02,80,NA,94,61.12038223,NA,"Good","Poor","Good","Good","Good",NA,NA
"2-BNF003.52",2001,-79.20181,37.718773,54.1782178217822,0.15,0.04,19,NA,184,82.65137287,NA,"Good","Good","Good",NA,"Good",NA,NA
"2-CEL001.00",2001,-77.40824,37.437651,37.956487804878,0.94,0.02,63,NA,121.5,62.82698928,NA,"Good",NA,"Good","Good","Good",NA,NA
"2-COO002.35",2001,-78.523373,37.519466,218.379530916844,0.25,0.01,60,NA,182,72.62541046,NA,"Good","Good","Good","Good","Good",NA,NA
"2-CWP023.28",2001,-79.721093,37.938284,24.9902078651685,0.15,0.01,100,NA,160.5,77.26989924,NA,"Good","Good","Good","Good","Good",NA,NA
"2-CWP053.78",2001,-79.649772,38.099808,37.956487804878,0.15,0.01,113,NA,186.5,70.99086469,NA,"Good","Good","Good","Good",NA,NA,NA
"2-HAZ006.34",2001,-79.17121,37.47984,37.956487804878,0.25,0.05,71,NA,153,68.79215809,NA,"Good","Good","Good",NA,"Good",NA,NA
"2-JOB001.02",2001,-80.115046,37.502998,24.9902078651685,0.15,0.01,90,NA,172,72.94738709,NA,"Good","Good","Good","Good","Good",NA,NA
"2-LMC001.15",2001,-79.715629,37.510354,11.4655761589404,1.03,0.02,314,NA,143.5,71.64071003,NA,"Good",NA,NA,"Good",NA,NA,NA
"2-LOB000.37",2001,-79.175713,37.658059,218.379530916844,0.15,0.05,61,NA,148,43.38645102,NA,"Poor",NA,"Good",NA,"Good",NA,NA
"2-OGL005.53",2001,-80.122457,37.839865,54.1782178217822,0.27,0.01,54,NA,159,77.43727582,NA,"Good","Good","Good","Good","Good",NA,NA
"2-RND003.57",2001,-78.26779,37.631023,54.1782178217822,0.45,0.02,94,NA,133,47.70668057,NA,"Poor",NA,"Good","Good","Good",NA,NA
"2-RVN012.05",2001,-78.241611,37.823911,11.4655761589404,3.93,0.46,98,NA,141.5,44.2504889,NA,"Poor",NA,"Poor","Poor","Good",NA,NA
"2-SMR004.80",2001,-79.08797,37.934915,54.1782178217822,0.15,0.01,6,NA,185.5,75.33209371,NA,"Good","Good","Good","Good","Good",NA,NA
"2-SUA001.55",2001,-78.676553,37.329562,37.956487804878,0.55,0.05,97,NA,148,65.10541817,NA,"Good",NA,"Good",NA,"Good",NA,NA
