DataSource,StationID,Year,StationID_Trend,LongitudeDD,LatitudeDD,stratum,designweight,weightcategory,station,state,status,comment,set,Basin,SubBasin,BayShed,BayPanel,EcoRegion,BioRegion,Panel,BioPanel,Order,BasinSize,StreamSizeCat,StreamSizeCatPhase,AREA_SQ_MILES,IR2008,IR2010,IR2012,IR2014,IR2016,IR2018,IR2020,DO,pH,SpCond,TN,TP,TDS,NH4,NO3,TKN,Ortho-P,Turb,TSS,Na,K,Cl,Sf,70331VFine,SSCCOARSE,SSCFINE,SSCTOTAL,LRBS,Slope,FN_PCT,SA_PCT,SA_FN_PCT,LSUB_DMM,BL_CB_GR_Embed_PCT,Embed_PCT,TotHab,TotTaxa,EPTTax,VEphem,VPTHydropsychidae,VScrap,VChiro,V2Dom,HBI,VHapto,EPTInd,VSCIVCPMI,MetalCCU,ARSENICppm,BERYLLIUMppm,CADMIUMppm,CHROMIUMppm,COPPERppm,LEADppm,MANGppm,NICKELppm,SILVERppm,ZINCppm,ANTIMONYppm,ALUMINUMppm,SELENIUMppm,IRONppm,MERCURYppm,THALLIUMppm,CALCIUM,MAGNESIUM,ARSENIC,BARIUM,BERYLLIUM,CADMIUM,CHROMIUM,COPPER,IRON,LEAD,MANGANESE,THALLIUM,NICKEL,SILVER,ZINC,ANTIMONY,ALUMINUM,SELENIUM,HARDNESS,MERCURY,Hg-C,YearSampled,NLCD,totalArea_sqMile,PWater,N_INDEX,PFOR,PWETL,PSHRB,PNG,PBAR,PTotBAR,U_INDEX,PURB,PMBAR,PAGT,PAGP,PAGC,S,H,Hprime,C,RNAT1,RFOR1,RWETL1,RSHRB1,RNG1,RBAR1,RTotBAR1,RHUM1,RURB1,RMBAR1,RAGT1,RAGP1,RAGC1,RNAT30,RFOR30,RWETL30,RSHRB30,RNG30,RBAR30,RTotBAR30,RHUM30,RURB30,RMBAR30,RAGT30,RAGP30,RAGC30,RNAT120,RFOR120,RWETL120,RSHRB120,RNG120,RBAR120,RTotBAR120,RHUM120,RURB120,RMBAR120,RAGT120,RAGP120,RAGC120,sqMileImp,wshdImpPCT,MunMajor,MunMinor,IndMajor,IndMinor,damcount,STRMLEN,STRMDENS,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshdPOP2000,POPDENS2000,wshdPOP2010,POPDENS2010,POPCHG2000_2010,RDLEN,RDLEN120,STXRD_CNT,RDDENS,pctRoadLengthInRiparian,STXRD
State ProbMon,1ACAH001.82,2001,1ACAH001.82,-77.293457,38.987548,1,947.6292,2,1,VA,TS,Target,1,Potomac-Shenandoah,Potomac,Bay,BayPhase1,Northern Piedmont,Piedmont,Phase1,Phase1,2,2,Small,Phase1Small,1.191813961,2008,1,1,1,1,1,1,9.55,7.3,157,4.95,0.09,115,0.04,4.23,0.7,0.02,14.5,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,9,3.5,10.08,5.5,9.51,0,63.935,5.04,69.985,47.5,43.63498888,NA,5,5,1,35.8,14.6,8.5,377,25.9,1,42.3,5,5200,1,98200,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,1.191813961,0.145772595,40.17492711,39.79591837,0.932944606,4.081632653,0.204081633,0,52.56559767,54.83965015,54.69387755,52.56559767,0.145772595,0.145772595,0,12,1.167380537,0.469788488,0.596173873,71.42857143,71.42857143,14.28571429,0,0,0,14.28571429,14.28571429,14.28571429,14.28571429,0,0,0,42.52336449,42.52336449,8.878504673,3.271028037,0,0,44.85981308,45.3271028,45.3271028,44.85981308,0,0,0,46.0593654,45.24053224,3.582395087,3.377686796,0.204708291,0,46.46878199,47.08290686,47.08290686,46.46878199,0,0,0,0.035944572,3.01574344,0,0,0,0,0,3104.534048,1.005744718,79,122,105.0452751,8.064840782,43,0,10.73744392,3.103489111,1.786447488,10.73744392,2040.74,1020.37,80.34413787,40.17206894,1219.895644,395.1973408,1429.540041,463.1137307,17.18543698,19621.76738,3229.907091,7,3.681339426,16.46083672,2.254766703
State ProbMon,1AFLL000.62,2001,1AFLL000.62,-77.467681,38.86551,1,947.6292,2,2,VA,TS,Target,1,Potomac-Shenandoah,Potomac,Bay,BayPhase1,Northern Piedmont,Piedmont,Phase1,Phase1,2,2,Small,Phase1Small,7.595016065,2008,1,1,1,1,1,1,8.3,7.25,357.85,7.2,0.5,236,0.04,0.74,49.2,0.4,10.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,10.5,2,1.635,0,35.5,7.02,67.255,5.605,68.365,21,43.13629236,NA,5,5,1,11.3,11,8.4,174,7.9,1,33.3,5,4800,1,10800,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,7.595016065,0.077774728,16.26864306,15.90264434,1.642419252,0.292798975,0.365998719,0,31.35694025,81.71836399,79.86549547,31.35694025,1.852868515,1.120871077,0.731997438,13,1.651307395,0.64379727,0.760531922,50,45.83333333,16.66666667,0,4.166666667,0,25,33.33333333,33.33333333,25,0,0,0,48.50187266,47.65917603,14.23220974,0,0.842696629,0,25.37453184,36.79775281,35.95505618,25.37453184,0.842696629,0.093632959,0.74906367,33.97254304,33.25343212,7.169317934,0.1089562,0.719110917,0,29.57071257,58.24798431,56.52647636,29.57071257,1.721507954,1.154935716,0.566572238,1.863022759,24.52804465,0,0,0,0,0,15891.52201,0.807860918,67,146,101.8952503,15.49824106,79,0,13.99952984,2.507066052,1.712687337,13.99952984,2011.66,999.44,79.19925537,39.34805274,22344.91698,1135.925503,27804.6947,1413.478593,24.43409264,172792.3455,23886.43865,34,5.798336796,13.82378286,2.139505579
State ProbMon,1ALUC000.95,2001,1ALUC000.95,-77.523436,38.611379,1,947.6292,2,3,VA,TS,Target,1,Potomac-Shenandoah,Potomac,Bay,BayPhase1,Northern Piedmont,Piedmont,Phase1,Phase1,2,2,Small,Phase1Small,2.150770925,2008,1,1,1,1,1,1,8.9,7.06,67,0.67,0.02,56,0.04,0.06,0.6,0.02,8.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,12,5,14.225,37.9,13.545,0,67.545,4.28,91.28,50,55.22976263,NA,5,5,1,14.4,6.4,8.1,207,6.7,1,16.9,5,4880,1,7150,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,2.150770925,0,94.64256898,94.56188478,1.952557689,0.968210424,0.080684202,0,2.275294497,2.436662901,2.436662901,2.275294497,0,0,0,8,0.816967911,0.392878518,0.396128731,53.84615385,53.84615385,46.15384615,0,0,0,0,0,0,0,0,0,0,75.48543689,75.48543689,24.51456311,0,0,0,0,0,0,0,0,0,0,91.55733029,91.55733029,7.244723331,0,0,0,1.197946378,1.197946378,1.197946378,1.197946378,0,0,0,0.003617392,0.167984509,0,0,0,0,0,6027.237836,1.081991811,56,133,97.33089847,17.51976222,77,0,15.81345749,4.573481235,2.395463472,15.81345749,1007.65,993.57,39.67128127,39.11695026,0.064888575,0.011648604,0,0,-100,9314.726738,525.4882324,2,0.333184645,5.641477707,0.331826959
State ProbMon,1BBVR000.84,2001,1BBVR000.84,-79.038416,38.420286,1,947.6292,2,4,VA,TS,Target,1,Potomac-Shenandoah,Shenandoah,Bay,BayPhase1,Central Appalachian Ridges and Valleys,Mountain,Phase1,Phase1,2,3,Medium,Phase1Medium,13.92624449,2008,1,1,1,1,1,1,10.55,8.1,116,2.14,0.04,111,NA,1.9,0.2,NA,13.3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,17.5,8,36.48,6.95,14.805,28.44,50.4,4.795,67.57,161,60.34986989,NA,5,5,1,5,5,5,39.4,5,1,7.1,5,1510,1,3400,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,13.92624449,0.062370581,65.20220542,65.20220542,0,0,0,0,2.123094579,34.735424,3.500237008,2.123094579,31.23518699,29.15699923,2.07818776,10,1.296968972,0.563266468,0.642090704,55.55555556,55.55555556,0,0,0,0,5.555555556,44.44444444,5.555555556,5.555555556,38.88888889,36.11111111,2.777777778,51.38888889,51.38888889,0,0,0,0,6.41025641,46.9017094,12.92735043,6.41025641,33.97435897,32.26495726,1.709401709,46.42014162,46.42014162,0,0,0,0,8.602150538,52.92420666,15.57828482,8.602150538,37.34592185,34.77576711,2.570154734,0.092273026,0.662475364,0,0,0,0,1,13824.10338,0.383268176,400,1055,556.036005,137.2782837,655,0,37.51356888,8.754819897,5.71130105,37.51356888,4577.75,857.7,180.2264753,33.76773477,352.3299181,9.768217233,580.6299047,16.09775029,64.7972184,103712.7632,22316.15841,24,6.490717548,21.51727302,1.736098128
State ProbMon,1BCPL002.83,2001,1BCPL002.83,-78.008437,39.102092,1,947.6292,2,5,VA,TS,Target,1,Potomac-Shenandoah,Shenandoah,Bay,BayPhase1,Central Appalachian Ridges and Valleys,Mountain,Phase1,Phase1,2,2,Small,Phase1Small,4.613626576,2008,1,1,1,1,1,1,10.75,8.05,466,2.67,0.01,381,0.04,2.56,0.1,0.02,7.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,9.5,3.5,21.215,11.95,18.485,11.71,53.615,5.745,53.835,40.5,49.94672063,NA,5,5,1,24.7,7.8,9.7,439,11.2,1,17.5,5,10300,1,13000,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,4.613626576,0.173271056,23.89633871,23.78333584,0.158204008,0,0,0,4.88172367,75.88518909,5.604941992,4.88172367,70.2802471,69.36869067,0.911556426,11,0.999498505,0.416823252,0.480678514,34.61538462,30.76923077,3.846153846,0,0,0,3.846153846,65.38461538,3.846153846,3.846153846,61.53846154,61.53846154,0,23.94636015,22.60536398,1.915708812,0,0,0,6.704980843,73.18007663,7.662835249,6.704980843,65.51724138,65.51724138,0,24.85625829,24.19283503,0.92879257,0,0,0,5.572755418,73.72843874,6.147722247,5.572755418,67.5807165,67.5807165,0,0.022712077,0.492391141,0,0,0,0,0,7555.746669,0.632316843,157,204,188.7438534,8.532084182,47,0,9.371626854,2.186897896,1.578420368,9.371626854,5707.68,948.21,224.7119324,37.33112252,406.3665976,34.00755149,240.6245309,20.13711554,-40.78634112,52864.33631,7733.077033,13,3.808265336,14.62815496,1.720544715
State ProbMon,1BDRI000.21,2001,1BDRI000.21,-78.451691,38.686111,1,3790.5166,1,6,VA,TS,Target,1,Potomac-Shenandoah,Shenandoah,Bay,BayPhase1,Central Appalachian Ridges and Valleys,Mountain,Phase1,Phase1,1,3,Medium,Phase1Medium,14.02708253,2008,1,1,1,1,1,1,6.6,7.45,206.5,1.32,0.02,200,0.04,1.21,0.1,0.02,1.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.5,8.5,4.5,31.925,0.2,26.52,64.13,92.58,5.35,33.46,43,37.55981641,NA,5,5,1,11.8,5,7.9,344,5,1,21.3,5,3630,1,15400,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,14.02708253,0.534944772,64.11659815,64.11659815,0,0,0,0,7.860716232,35.34845708,13.07890435,7.860716232,22.26955273,21.35073555,0.918817178,10,1.477339491,0.641600389,0.690314293,57.14285714,57.14285714,0,0,0,0,19.04761905,38.0952381,33.33333333,19.04761905,4.761904762,4.761904762,0,48.81756757,48.81756757,0,0,0,0,19.59459459,47.63513514,27.87162162,19.59459459,19.76351351,19.76351351,0,34.67107985,34.67107985,0,0,0,0,18.99048407,61.02606537,29.78899462,18.99048407,31.23707075,30.28547787,0.951592884,0.346168055,2.467160335,0,0,0,0,2,8735.422538,0.240445341,230,1224,463.4595248,208.4729813,994,0,45.76829147,11.42252185,9.712114037,45.76829147,5082.03,928.3,200.0800293,36.54726383,1578.990525,43.46222676,1766.960492,48.63616112,11.90443919,121147.1032,15095.7291,17,6.92233493,12.46066038,1.946099336
State ProbMon,2-APP082.00,2001,2-APP082.00,-78.10155,37.445619,1,140.3895,5,7,VA,TS,Target,1,James,James,Bay,BayPhase1,Piedmont,Piedmont,Phase1,Phase1,5,4,Large,Phase1Large,627.3317702,2008,1,1,1,1,1,1,10.7,7.565,107.5,0.25,0.02,75,0.04,0.04,0.2,0.02,3.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,14.5,6.5,24.645,30.6,24.045,13.86,36.365,3.745,63.41,57.5,70.29530925,NA,5,5,1,7.4,5,5,881,5,1,17.5,5,1280,1,4780,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,627.3317702,0.79974254,69.67918902,66.34124158,3.923380255,2.619851983,3.014405669,0.28942061,3.209439155,23.01195736,3.810381587,2.920018545,19.20157578,18.88545646,0.316119316,15,1.631569252,0.602488555,0.709243877,54.19258522,52.72455835,32.99328191,1.219208758,1.219208758,0.024881811,0.796217965,6.295098283,0.945508833,0.771336153,5.34958945,5.324707639,0.024881811,58.716604,57.32040372,28.29606175,1.261626756,1.175539284,0.02473778,0.760934099,7.577676628,1.015238472,0.736196319,6.562438156,6.512962596,0.049475559,64.48911184,62.13168006,17.64091065,2.193516602,2.11639359,0.122475948,1.325364723,12.87724088,1.614978901,1.202888775,11.26226198,11.15820347,0.104058512,3.323879127,0.529838573,1,1,0,2,70,1477956.573,0.90962878,67,302,148.6578475,37.25270844,235,0,31.29141808,4.426309528,2.638915851,31.29141808,188286.42,1073.47,7412.855184,42.26262125,28664.75087,17.64211672,33020.25195,20.32277,15.19462387,5750807.079,610697.5026,950,1.562278614,10.61933559,0.642779374
State ProbMon,2-BFL016.79,2001,2-BFL016.79,-78.539223,37.204166,1,541.5024,3,8,VA,TS,Target,1,James,James,Bay,BayPhase1,Piedmont,Piedmont,Phase1,Phase1,3,3,Medium,Phase1Medium,21.47315013,2008,1,1,1,1,1,1,10.79,7.235,109.5,0.25,0.02,80,0.04,0.04,0.2,0.02,2.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,19,5.5,20.205,13.8,15.885,20.01,37.575,4.71,56.925,48.5,61.12038223,NA,5,5,1,6.2,5,5,622,5,1,5.1,5,1660,1,3820,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,21.47315013,0.720111334,67.87008868,65.78904783,2.085895527,2.019548191,2.011457052,0.061492653,2.267137032,27.31244741,2.333484368,2.205644378,24.97896304,24.80904913,0.16991391,14,1.470005455,0.557019144,0.682397983,51.85185185,50.37037037,27.40740741,1.481481481,0.740740741,0.740740741,2.962962963,14.07407407,2.222222222,2.222222222,11.85185185,11.85185185,0,59.1942446,58.07194245,18.90647482,2.18705036,0.920863309,0.172661871,1.122302158,14.79136691,0.949640288,0.949640288,13.84172662,13.84172662,0,66.86802974,65.07567711,10.38236856,2.077801381,1.486988848,0.238980351,1.314391928,17.65135422,1.08204992,1.075411577,16.5693043,16.48300584,0.08629846,0.034224487,0.159379248,0,0,0,0,5,50609.33888,0.909985988,114,209,161.8847476,17.0700293,95,0,18.18865395,4.056593009,2.451490491,18.18865395,5452.14,1089.35,214.651297,42.88781844,458.5549512,8.245090523,390.710111,7.025199979,-14.7953566,180292.6226,25488.9015,45,1.878902506,14.13751774,0.889163957
State ProbMon,2-BNF003.52,2001,2-BNF003.52,-79.20181,37.718773,1,947.6292,2,9,VA,TS,Target,1,James,James,Bay,BayPhase1,Blue Ridge Mountains,Mountain,Phase1,Phase1,2,2,Small,Phase1Small,5.687559042,2008,1,1,1,1,1,1,11.045,7.455,13.75,0.15,0.04,19,0.04,0.04,0.1,0.03,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,19.5,13,46.08,34.85,34.29,3.365,53.33,3.43,92.01,90.5,82.65137287,NA,5,5,1,6.4,6.3,14,459,5.4,1,90.9,5,15000,1,26300,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,5.687559042,0,98.5390305,98.5390305,0,0,0,0,1.460969497,1.460969497,1.460969497,1.460969497,0,0,0,4,0.331654048,0.239237825,0.140120256,96.42857143,96.42857143,0,0,0,0,3.571428571,3.571428571,3.571428571,3.571428571,0,0,0,94.52380952,94.52380952,0,0,0,0,5.476190476,5.476190476,5.476190476,5.476190476,0,0,0,92.74351102,92.74351102,0,0,0,0,7.256488976,7.256488976,7.256488976,7.256488976,0,0,0,0.0010668,0.018766428,0,0,0,0,0,12140.04514,0.824127081,453,1235,915.495307,173.7650205,782,0.355126977,41.56312943,19.67894496,6.899972432,41.20800245,1050.61,1050.61,41.36262076,41.36262076,67.50360336,4.582482761,26.48808536,1.798143929,-60.76048678,4255.321031,3990.44288,4,1.237502874,93.77536621,0.329488066
State ProbMon,2-CEL001.00,2001,2-CEL001.00,-77.40824,37.437651,1,541.5024,3,10,VA,TS,Target,1,James,James,Bay,BayPhase1,Southeastern Plains,Coast,Phase1,Phase1,3,2,Small,Phase2Small,9.629963917,2008,1,1,1,1,1,1,11.26,6.56,136,0.94,0.02,63,0.04,0.73,0.2,0.02,3.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.5,12,4.5,12.07,14.75,10.31,17.55,61.865,5.39,65.34,67,62.82698928,NA,5,5,1,5,5,5,14.3,5,1,31.2,5,929,1,1460,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,9.629963917,0.599299614,29.17072819,28.82414528,6.747536012,3.830463194,0.191342648,0.122748114,17.66850789,59.68446514,29.89277591,17.54575977,29.79168923,10.25668797,19.53500126,15,2.211719642,0.816720326,0.868448015,5.769230769,5.769230769,73.07692308,1.923076923,0,0,9.615384615,19.23076923,13.46153846,9.615384615,5.769230769,0,5.769230769,12.95799821,12.86863271,56.3002681,2.234137623,0.089365505,0,11.26005362,27.79267203,17.24754245,11.26005362,10.54512958,3.127792672,7.417336908,22.83950617,22.34567901,31.85185185,3.065843621,0.267489712,0.226337449,13.18930041,41.41975309,23.3127572,12.96296296,18.10699588,6.481481481,11.6255144,0.693340363,7.203400845,0,0,0,0,0,16378.53872,0.656674714,0,51,39.9533079,9.388734471,51,0,17.82733345,1.432642022,1.82239613,17.82733345,2197.2,1098.98,86.50398372,43.2669525,2494.318244,100.0062183,4126.379431,165.4414401,65.43115303,104479.0773,21826.12101,27,5.003106282,20.89042282,1.648498713
